Date (PST),Time Spent on Tweeting (mins)
2017-01-05,0.45333333333333337
2017-01-06,0.6066666666666667
2017-01-08,1.6966666666666668
2017-01-10,2.05
2017-01-12,3.5733333333333333
2017-01-14,0.9966666666666668
2017-01-15,0.36000000000000004
2017-01-16,2.1566666666666667
2017-01-17,0.22666666666666668
2017-01-19,3.31
2017-01-21,4.99
2017-01-22,1.7266666666666668
2017-01-23,0.8733333333333334
2017-01-24,6.22
2017-01-25,2.0
2017-01-27,2.1766666666666663
2017-01-28,1.29
2017-01-29,2.0533333333333332
2017-01-30,2.98
2017-02-02,0.5133333333333334
2017-02-03,1.1366666666666667
2017-02-04,5.85
2017-02-05,18.683333333333334
2017-02-07,3.5
2017-02-08,1.8933333333333333
2017-02-09,1.0333333333333332
2017-02-10,1.0266666666666668
2017-02-14,0.35333333333333333
2017-02-15,4.22
2017-02-16,0.8766666666666667
2017-02-17,1.5666666666666667
2017-02-18,4.84
2017-02-19,0.79
2017-02-23,0.26
2017-02-24,3.02
2017-02-26,0.21000000000000002
2017-02-27,1.2033333333333334
2017-03-01,0.41333333333333333
2017-03-05,0.7466666666666667
2017-03-09,1.7833333333333332
2017-03-10,0.6433333333333333
2017-03-11,2.4799999999999995
2017-03-12,3.773333333333333
2017-03-14,0.8900000000000001
2017-03-15,0.42333333333333334
2017-03-21,1.18
2017-03-22,0.32666666666666666
2017-03-23,0.32
2017-03-24,20.423333333333332
2017-03-27,0.5333333333333333
2017-03-28,2.3133333333333335
2017-03-29,0.94
2017-03-30,0.7333333333333334
2017-03-31,4.076666666666666
2017-04-01,2.3233333333333333
2017-04-03,1.25
2017-04-05,0.2833333333333333
2017-04-07,1.4866666666666666
2017-04-12,1.7266666666666668
2017-04-13,1.2533333333333334
2017-04-17,1.3966666666666665
2017-04-23,1.2766666666666668
2017-04-24,0.87
2017-04-26,0.4666666666666667
2017-04-28,0.8899999999999999
2017-04-30,0.6200000000000001
2017-05-01,1.7666666666666666
2017-05-04,2.64
2017-05-05,0.8633333333333334
2017-05-07,0.56
2017-05-09,0.7766666666666666
2017-05-10,3.993333333333333
2017-05-11,1.9866666666666666
2017-05-12,4.8100000000000005
2017-05-13,2.183333333333333
2017-05-16,2.0033333333333334
2017-05-19,1.9966666666666666
2017-05-20,0.20333333333333334
2017-05-21,8.383333333333333
2017-05-22,3.8499999999999996
2017-05-23,3.07
2017-05-24,1.01
2017-05-25,0.8433333333333333
2017-05-26,0.4766666666666667
2017-05-27,0.8033333333333332
2017-05-28,0.7433333333333333
2017-05-30,1.1233333333333333
2017-05-31,0.9333333333333333
2017-06-01,1.9733333333333334
2017-06-02,0.25333333333333335
2017-06-03,1.7133333333333334
2017-06-04,0.77
2017-06-05,5.67
2017-06-06,3.316666666666667
2017-06-07,2.546666666666667
2017-06-08,11.943333333333333
2017-06-09,11.19
2017-06-10,1.19
2017-06-11,1.3299999999999998
2017-06-12,1.0266666666666666
2017-06-13,1.1466666666666667
2017-06-14,0.6466666666666666
2017-06-15,1.2933333333333332
2017-06-16,1.9466666666666668
2017-06-17,0.41000000000000003
2017-06-18,4.513333333333334
2017-06-19,2.393333333333333
2017-06-20,1.7266666666666666
2017-06-21,1.4166666666666667
2017-06-22,1.2666666666666666
2017-06-23,2.2133333333333334
2017-06-24,4.536666666666667
2017-06-25,4.833333333333334
2017-06-26,1.2266666666666666
2017-06-28,3.3333333333333335
2017-06-29,3.12
2017-06-30,0.7666666666666667
2017-07-02,3.7933333333333334
2017-07-03,1.1866666666666665
2017-07-05,1.1333333333333333
2017-07-06,0.97
2017-07-08,2.546666666666667
2017-07-10,3.01
2017-07-11,2.49
2017-07-12,0.47000000000000003
2017-07-13,4.406666666666666
2017-07-14,2.8066666666666666
2017-07-15,0.21000000000000002
2017-07-17,2.8
2017-07-19,0.46
2017-07-20,4.456666666666667
2017-07-21,3.013333333333333
2017-07-22,0.4733333333333334
2017-07-24,1.6066666666666665
2017-07-25,2.7066666666666666
2017-07-27,2.0966666666666667
2017-07-28,2.0233333333333334
2017-07-29,1.2033333333333334
2017-07-30,4.3533333333333335
2017-07-31,1.3866666666666667
2017-08-01,0.33
2017-08-02,1.2000000000000002
2017-08-03,0.4633333333333334
2017-08-04,0.33666666666666667
2017-08-05,4.466666666666667
2017-08-06,0.76
2017-08-09,0.5366666666666666
2017-08-10,6.296666666666666
2017-08-11,4.196666666666667
2017-08-13,0.48000000000000004
2017-08-14,2.9966666666666666
2017-08-18,2.1466666666666665
2017-08-19,3.493333333333333
2017-08-20,1.8166666666666667
2017-08-21,0.8533333333333334
2017-08-22,1.35
2017-08-23,2.2933333333333334
2017-08-24,2.4433333333333334
2017-08-25,3.3266666666666667
2017-08-27,10.08
2017-08-28,3.873333333333333
2017-08-29,0.5333333333333333
2017-08-30,3.123333333333333
2017-08-31,1.13
2017-09-04,4.26
2017-09-08,0.29
2017-09-11,0.45666666666666667
2017-09-13,1.16
2017-09-14,1.0699999999999998
2017-09-15,2.2666666666666666
2017-09-19,0.46
2017-09-20,0.61
2017-09-24,0.5733333333333334
2017-09-25,2.12
2017-09-26,1.3933333333333333
2017-09-27,0.33333333333333337
2017-09-28,2.3066666666666666
2017-09-29,1.163333333333333
2017-10-01,0.9966666666666668
2017-10-03,0.3433333333333333
2017-10-04,0.5466666666666666
2017-10-05,4.263333333333334
2017-10-06,10.69
2017-10-07,0.29333333333333333
2017-10-08,2.5966666666666667
2017-10-09,0.48333333333333334
2017-10-10,0.34
2017-10-11,1.68
2017-10-12,2.5033333333333334
